=== [ACTOR_LIST] TOTAL ACTORS IN MAP: 32 ===
[ACTOR] Label: PlayerStart | Class: PlayerStart | Pos: (0.0, 0.0, -480.0)
[ACTOR] Label: PortraitCamera_9x16 | Class: CameraActor | Pos: (0.0, -600.0, 0.0)
[ACTOR] Label: Ground_Stage00 | Class: PaperSpriteActor | Pos: (0.0, 80.0, 0.0)
[ACTOR] Label: Barricade_Top_L | Class: PaperSpriteActor | Pos: (-200.0, 30.0, 420.0)
[ACTOR] Label: Barricade_Top_R | Class: PaperSpriteActor | Pos: (200.0, 30.0, 420.0)
[ACTOR] Label: DefenseLine_L | Class: PaperSpriteActor | Pos: (-220.0, 30.0, -50.0)
[ACTOR] Label: DefenseLine_R | Class: PaperSpriteActor | Pos: (220.0, 30.0, -50.0)
[ACTOR] Label: UI_BossBar_Bg | Class: PaperSpriteActor | Pos: (0.0, -60.0, 720.0)
[ACTOR] Label: UI_BossBar_Fill | Class: PaperSpriteActor | Pos: (0.0, -60.0, 720.0)
[ACTOR] Label: UI_Boss_SkullIcon | Class: PaperSpriteActor | Pos: (-200.0, -60.0, 720.0)
[ACTOR] Label: UI_Btn_Pause | Class: PaperSpriteActor | Pos: (360.0, -60.0, 720.0)
[ACTOR] Label: UI_Player_HP_Bg | Class: PaperSpriteActor | Pos: (-200.0, -60.0, -680.0)
[ACTOR] Label: UI_Player_HP_Fill | Class: PaperSpriteActor | Pos: (-200.0, -60.0, -680.0)
[ACTOR] Label: UI_Player_EXP_Fill | Class: PaperSpriteActor | Pos: (-200.0, -60.0, -730.0)
[ACTOR] Label: UI_HUD_AmmoRadial | Class: PaperSpriteActor | Pos: (320.0, -60.0, -680.0)
[ACTOR] Label: Enemy_Zombie_01 | Class: BP_Enemy_ZombieWalker_C | Pos: (-150.0, 0.0, 220.0)
[ACTOR] Label: Enemy_Zombie_02 | Class: BP_Enemy_ZombieWalker_C | Pos: (0.0, 0.0, 180.0)
[ACTOR] Label: Enemy_Zombie_03 | Class: BP_Enemy_ZombieWalker_C | Pos: (150.0, 0.0, 220.0)
[ACTOR] Label: Enemy_Runner_01 | Class: BP_Enemy_ZombieRunner_C | Pos: (-120.0, 0.0, 320.0)
[ACTOR] Label: Enemy_VenomShooter_01 | Class: BP_Enemy_VenomShooter_C | Pos: (120.0, 0.0, 320.0)
[ACTOR] Label: Enemy_ArmoredGuard_01 | Class: BP_Enemy_ArmoredGuard_C | Pos: (0.0, 0.0, 370.0)
[ACTOR] Label: Enemy_Hound_01 | Class: BP_Enemy_MutantHound_C | Pos: (-220.0, 0.0, 460.0)
[ACTOR] Label: Enemy_Hound_02 | Class: BP_Enemy_MutantHound_C | Pos: (220.0, 0.0, 460.0)
[ACTOR] Label: Enemy_Brute_Elite | Class: BP_Enemy_MutantBrute_C | Pos: (0.0, 0.0, 550.0)
[ACTOR] Label: Boss_Overlord_Live | Class: BP_Boss_Overlord_C | Pos: (0.0, 0.0, 680.0)
[ACTOR] Label: Wall_Barricade_Top_L | Class: StaticMeshActor | Pos: (-200.0, 0.0, 420.0)
[ACTOR] Label: Wall_Barricade_Top_R | Class: StaticMeshActor | Pos: (200.0, 0.0, 420.0)
[ACTOR] Label: Wall_DefenseLine_L | Class: StaticMeshActor | Pos: (-220.0, 0.0, -50.0)
[ACTOR] Label: Wall_DefenseLine_R | Class: StaticMeshActor | Pos: (220.0, 0.0, -50.0)
[ACTOR] Label: Wall_Boundary_Left | Class: StaticMeshActor | Pos: (-330.0, 0.0, 0.0)
[ACTOR] Label: Wall_Boundary_Right | Class: StaticMeshActor | Pos: (330.0, 0.0, 0.0)
[ACTOR] Label: Wall_Boundary_Bottom | Class: StaticMeshActor | Pos: (0.0, 0.0, -640.0)
