source,category,width,height,mode,has_alpha_channel,has_transparency,alpha_min,alpha_max,bytes,sha256
Content/美术/Art/01_Player/01_Idle_Run/Dir_01_Down/Idle/T_Player_Medic_Idle_Dir_01_Down_01.png,01_Player,398,480,RGBA,True,True,0,255,255722,addac8da01bc36b7288400cdb66a9853cbfbcd47fa2ff37b13a2c495a8ca8580
Content/美术/Art/01_Player/01_Idle_Run/Dir_01_Down/Idle/T_Player_Medic_Idle_Dir_01_Down_02.png,01_Player,398,480,RGBA,True,True,0,255,236585,47c7fa2f9c05475519053b4b05507de16f75fca47b92d9e38a44e3809d1ef3ce
Content/美术/Art/01_Player/01_Idle_Run/Dir_01_Down/Idle/T_Player_Medic_Idle_Dir_01_Down_03.png,01_Player,398,480,RGBA,True,True,0,255,240654,9f88f89696de40e2c97a0b017913c44f8969f49ff0f9c3b5e45c96f74ab57f13
Content/美术/Art/01_Player/01_Idle_Run/Dir_01_Down/Idle/T_Player_Medic_Idle_Dir_01_Down_04.png,01_Player,398,480,RGBA,True,True,0,255,249683,0ed602aad0b5fda7af8481299edbf2690a98bc53d7f17911ea8a49ef4a33ec0b
Content/美术/Art/01_Player/01_Idle_Run/Dir_01_Down/Idle/T_Player_Medic_Idle_Dir_01_Down_Sheet.png,01_Player,1592,480,RGBA,True,True,0,255,959229,a3db00a1f77e7b04be45217d834b868731cf80c3b9db3fc3036ab682f46e0f8a
Content/美术/Art/01_Player/01_Idle_Run/Dir_01_Down/Run/T_Player_Medic_Run_Dir_01_Down_01.png,01_Player,397,465,RGBA,True,True,0,255,237930,047dabe431499e529e1b7bcef4e5995d29b51199dd50b6706bfdd79d22952f57
Content/美术/Art/01_Player/01_Idle_Run/Dir_01_Down/Run/T_Player_Medic_Run_Dir_01_Down_02.png,01_Player,397,465,RGBA,True,True,0,255,215916,eca48797897a6979dc6952de6ad3ec70e684d74bcbfdd0cdf77bd2c19ba9507e
Content/美术/Art/01_Player/01_Idle_Run/Dir_01_Down/Run/T_Player_Medic_Run_Dir_01_Down_03.png,01_Player,397,465,RGBA,True,True,0,255,228280,6fa1ae80e30778a3094c4774c1ef256d42f1efa0d02eef7df0e947ba84483943
Content/美术/Art/01_Player/01_Idle_Run/Dir_01_Down/Run/T_Player_Medic_Run_Dir_01_Down_04.png,01_Player,397,465,RGBA,True,True,0,255,223074,2fcbc5ee647e6a25d9c27b85a274662b64cfb28ca71c6ac04d458ee76cd98c97
Content/美术/Art/01_Player/01_Idle_Run/Dir_01_Down/Run/T_Player_Medic_Run_Dir_01_Down_Sheet.png,01_Player,1588,465,RGBA,True,True,0,255,881993,7cc773171072b3218a339f13dfda70e4de6cac6f4dc0101ff498b878e5e0dc5c
Content/美术/Art/01_Player/01_Idle_Run/Dir_02_DownLeft/Idle/T_Player_Medic_Idle_Dir_02_DownLeft_01.png,01_Player,430,483,RGBA,True,True,0,255,285479,a4f26fa074cbe541cd0ca9312676f59acab30ec430b08ede84fb730f437d4621
Content/美术/Art/01_Player/01_Idle_Run/Dir_02_DownLeft/Idle/T_Player_Medic_Idle_Dir_02_DownLeft_02.png,01_Player,430,483,RGBA,True,True,0,255,254942,7f194d534928ba9e67ced832bb57366a00a8af33b4669d31b09a5b74fa864b47
Content/美术/Art/01_Player/01_Idle_Run/Dir_02_DownLeft/Idle/T_Player_Medic_Idle_Dir_02_DownLeft_03.png,01_Player,430,483,RGBA,True,True,0,255,261463,1eff0c75e220de9bc7a45c9eb16703d5d06f596bce5ebd9969a00a9ed83666c1
Content/美术/Art/01_Player/01_Idle_Run/Dir_02_DownLeft/Idle/T_Player_Medic_Idle_Dir_02_DownLeft_04.png,01_Player,430,483,RGBA,True,True,0,255,265819,9825c53bd0c97e6b493ac1cb4bf0bce1b05b0dbc3455afa6cda822cb69acdbfc
Content/美术/Art/01_Player/01_Idle_Run/Dir_02_DownLeft/Idle/T_Player_Medic_Idle_Dir_02_DownLeft_Sheet.png,01_Player,1720,483,RGBA,True,True,0,255,1041984,c5d46a571c1dfcf59c029d2994bf44e18f4ac7bc016b92f6dae54ee58189382c
Content/美术/Art/01_Player/01_Idle_Run/Dir_02_DownLeft/Run/T_Player_Medic_Run_Dir_02_DownLeft_01.png,01_Player,443,469,RGBA,True,True,0,255,262603,cbd3e76089c1bbf587e3a6b4ef3249fb1ad0f62fcb9794e4adfae6561fbea04f
Content/美术/Art/01_Player/01_Idle_Run/Dir_02_DownLeft/Run/T_Player_Medic_Run_Dir_02_DownLeft_02.png,01_Player,443,469,RGBA,True,True,0,255,239634,0c469005ef8bec47825e049ffe62a161659d3ced11a67a72f2abd2c3e1734f84
Content/美术/Art/01_Player/01_Idle_Run/Dir_02_DownLeft/Run/T_Player_Medic_Run_Dir_02_DownLeft_03.png,01_Player,443,469,RGBA,True,True,0,255,250277,0ba644535dca8f4d570768279bdeece2a70cec805cb359eb64101caf454225a8
Content/美术/Art/01_Player/01_Idle_Run/Dir_02_DownLeft/Run/T_Player_Medic_Run_Dir_02_DownLeft_04.png,01_Player,443,469,RGBA,True,True,0,255,246124,27b37788e9235ed1b2d2e31a1f70dacdc9f24ed88cce5c55ed4210164bb5921a
Content/美术/Art/01_Player/01_Idle_Run/Dir_02_DownLeft/Run/T_Player_Medic_Run_Dir_02_DownLeft_Sheet.png,01_Player,1772,469,RGBA,True,True,0,255,973938,5c4d22bbe3ed8aecdede14c27b31ff8001e9c8c36865c0f5ecfd64a800526d07
Content/美术/Art/01_Player/01_Idle_Run/Dir_03_Left/Idle/T_Player_Medic_Idle_Dir_03_Left_01.png,01_Player,425,479,RGBA,True,True,0,255,203014,6640dc54c8a708ee03b12d8723e75136e6b33d68f34e540b758136df579521ad
Content/美术/Art/01_Player/01_Idle_Run/Dir_03_Left/Idle/T_Player_Medic_Idle_Dir_03_Left_02.png,01_Player,425,479,RGBA,True,True,0,255,198898,b7dad3ec82bc2a5a0fab8749df459929f1d177fa2f5be626a94cc40d979cf412
Content/美术/Art/01_Player/01_Idle_Run/Dir_03_Left/Idle/T_Player_Medic_Idle_Dir_03_Left_03.png,01_Player,425,479,RGBA,True,True,0,255,204824,0b0e8cf1e9e36d64cf86804102325ec5d22b7eb35b9b1371ae89b79fe9456cb0
Content/美术/Art/01_Player/01_Idle_Run/Dir_03_Left/Idle/T_Player_Medic_Idle_Dir_03_Left_04.png,01_Player,425,479,RGBA,True,True,0,255,202561,3d952412b9bb5037043b5a8075503faefbba1cd0c0207aa6c4b86381e07cdf3b
Content/美术/Art/01_Player/01_Idle_Run/Dir_03_Left/Idle/T_Player_Medic_Idle_Dir_03_Left_Sheet.png,01_Player,1700,479,RGBA,True,True,0,255,785328,9579f4d4cb46b18cc21ea8c47c91778ca03e341cd0296b06638fde37ff8e5b67
Content/美术/Art/01_Player/01_Idle_Run/Dir_03_Left/Run/T_Player_Medic_Run_Dir_03_Left_01.png,01_Player,410,462,RGBA,True,True,0,255,222317,3a0870b6e267d8b7ed492d16b59e62126b1325f1c0e70e9a70ace3a485f590be
Content/美术/Art/01_Player/01_Idle_Run/Dir_03_Left/Run/T_Player_Medic_Run_Dir_03_Left_02.png,01_Player,410,462,RGBA,True,True,0,255,196868,0a40e4e5397f4e6f314eefdcbc78ee706de4886ae32ac7b6ea162af83844136f
Content/美术/Art/01_Player/01_Idle_Run/Dir_03_Left/Run/T_Player_Medic_Run_Dir_03_Left_03.png,01_Player,410,462,RGBA,True,True,0,255,216846,68c72eba653136c034c5679ccd6b4dd48da718b4db4cdb12c6f13325f3668ccd
Content/美术/Art/01_Player/01_Idle_Run/Dir_03_Left/Run/T_Player_Medic_Run_Dir_03_Left_04.png,01_Player,410,462,RGBA,True,True,0,255,208513,254b1ae94adfa40cc41f1fef10bb0ac84e880d7b10a7112f56d9799de4022b68
Content/美术/Art/01_Player/01_Idle_Run/Dir_03_Left/Run/T_Player_Medic_Run_Dir_03_Left_Sheet.png,01_Player,1640,462,RGBA,True,True,0,255,818869,59c006b03674cdaad99676bf5219c47ce1b06a23ea9384332e538c20dc0f1f0e
Content/美术/Art/01_Player/01_Idle_Run/Dir_04_UpLeft/Idle/T_Player_Medic_Idle_Dir_04_UpLeft_01.png,01_Player,402,463,RGBA,True,True,0,255,215556,0eaab211fd1670b7a928dc4f68d5e32f6f1e6a7b0c55c4f7a7555663774ad5dc
Content/美术/Art/01_Player/01_Idle_Run/Dir_04_UpLeft/Idle/T_Player_Medic_Idle_Dir_04_UpLeft_02.png,01_Player,402,463,RGBA,True,True,0,255,218346,396bb5e820261545145112c21035c572be2c3a2797dacbd65c57c489611e0b71
Content/美术/Art/01_Player/01_Idle_Run/Dir_04_UpLeft/Idle/T_Player_Medic_Idle_Dir_04_UpLeft_03.png,01_Player,402,463,RGBA,True,True,0,255,219582,f320002debf9b093924c457c0d2339d6bd37a6a44dd54965b2569d178f6accc7
Content/美术/Art/01_Player/01_Idle_Run/Dir_04_UpLeft/Idle/T_Player_Medic_Idle_Dir_04_UpLeft_04.png,01_Player,402,463,RGBA,True,True,0,255,222947,26bf32250ababbc3341cb8e403c12d3a14557c42a6cfc955646aa1d0bde44ae5
Content/美术/Art/01_Player/01_Idle_Run/Dir_04_UpLeft/Idle/T_Player_Medic_Idle_Dir_04_UpLeft_Sheet.png,01_Player,1608,463,RGBA,True,True,0,255,853699,a0d63c057e606324cb54534a6b695b372debc6b57c48065ccce7cbed06ea07c3
Content/美术/Art/01_Player/01_Idle_Run/Dir_04_UpLeft/Run/T_Player_Medic_Run_Dir_04_UpLeft_01.png,01_Player,381,450,RGBA,True,True,0,255,195923,30f6be3553708be3a1dab5517d93db8fbb7c05f4b7ff388a835043ab158d260c
Content/美术/Art/01_Player/01_Idle_Run/Dir_04_UpLeft/Run/T_Player_Medic_Run_Dir_04_UpLeft_02.png,01_Player,381,450,RGBA,True,True,0,255,188875,07e74c46c241ed6e729223c487b9f5e96109f382e05e06063374d6bc1cff19b0
Content/美术/Art/01_Player/01_Idle_Run/Dir_04_UpLeft/Run/T_Player_Medic_Run_Dir_04_UpLeft_03.png,01_Player,381,450,RGBA,True,True,0,255,193604,8c13b930d4f448c5d026c5b91075fea288a34c11bbfb5e41eca59ef0168764bb
Content/美术/Art/01_Player/01_Idle_Run/Dir_04_UpLeft/Run/T_Player_Medic_Run_Dir_04_UpLeft_04.png,01_Player,381,450,RGBA,True,True,0,255,193966,d7df21e7adcd15204c1a0358a17d57d4c6ad320a75e06b09ea54c49624789eb0
Content/美术/Art/01_Player/01_Idle_Run/Dir_04_UpLeft/Run/T_Player_Medic_Run_Dir_04_UpLeft_Sheet.png,01_Player,1524,450,RGBA,True,True,0,255,752402,cb93d49e229f75ec50d97d8633914086fcf86e54516efe3809043c91ffa838c6
Content/美术/Art/01_Player/01_Idle_Run/Dir_05_Up/Idle/T_Player_Medic_Idle_Dir_05_Up_01.png,01_Player,392,448,RGBA,True,True,0,255,200682,2c8c298cc2bb951db24b4f37ebd94f289d71523d26188c97a3ff289a8aba8359
Content/美术/Art/01_Player/01_Idle_Run/Dir_05_Up/Idle/T_Player_Medic_Idle_Dir_05_Up_02.png,01_Player,392,448,RGBA,True,True,0,255,204686,21e6ea5463ce0b3fe257cc8c518a2cb253a8be081016bca51c774b946101ed27
Content/美术/Art/01_Player/01_Idle_Run/Dir_05_Up/Idle/T_Player_Medic_Idle_Dir_05_Up_03.png,01_Player,392,448,RGBA,True,True,0,255,210440,ebd053e483b7d616e96b25bbcf7fd82d6db4b011c18ff84452c3178cc3416b2f
Content/美术/Art/01_Player/01_Idle_Run/Dir_05_Up/Idle/T_Player_Medic_Idle_Dir_05_Up_04.png,01_Player,392,448,RGBA,True,True,0,255,201042,a7a5e9f9c04cc56bb0e5ddd4047f2951e0696427962b9dfb932c9d220b501469
Content/美术/Art/01_Player/01_Idle_Run/Dir_05_Up/Idle/T_Player_Medic_Idle_Dir_05_Up_Sheet.png,01_Player,1568,448,RGBA,True,True,0,255,792257,1c6a92487b848ea65f93c15b8ed89676f0d24ce52d64aa75c3cccf51a6402703
Content/美术/Art/01_Player/01_Idle_Run/Dir_05_Up/Run/T_Player_Medic_Run_Dir_05_Up_01.png,01_Player,384,450,RGBA,True,True,0,255,188131,26c1406497a372c402e8992a8ad751b572f48a2443006652e1f791e1b28b006f
Content/美术/Art/01_Player/01_Idle_Run/Dir_05_Up/Run/T_Player_Medic_Run_Dir_05_Up_02.png,01_Player,384,450,RGBA,True,True,0,255,178624,bfeb08eade995cb1ca26a7f9f553dc844d4c6168bbe6907cb27f0f52b8a38f05
Content/美术/Art/01_Player/01_Idle_Run/Dir_05_Up/Run/T_Player_Medic_Run_Dir_05_Up_03.png,01_Player,384,450,RGBA,True,True,0,255,189191,759228a752fbfce68ea132c17c6c145e03974b3de2823d939bc18045a22aa106
Content/美术/Art/01_Player/01_Idle_Run/Dir_05_Up/Run/T_Player_Medic_Run_Dir_05_Up_04.png,01_Player,384,450,RGBA,True,True,0,255,178443,e7be7f851783250ebd824d246d05895440ee9e74050e7b9e087f7aebd59f041b
Content/美术/Art/01_Player/01_Idle_Run/Dir_05_Up/Run/T_Player_Medic_Run_Dir_05_Up_Sheet.png,01_Player,1536,450,RGBA,True,True,0,255,714384,157666122ee85afe24760c463a49aefd46e6071c2bf49e85874099c3f027a3f3
Content/美术/Art/01_Player/02_Attack_Hurt/Dir_01_Down/Attack/T_Player_Medic_Attack_Dir_01_Down_01.png,01_Player,432,477,RGBA,True,True,0,255,276424,4992b685928d7825a00d4063c71a1cc80cd18a000dce534d20cdffe008a8b8cd
Content/美术/Art/01_Player/02_Attack_Hurt/Dir_01_Down/Attack/T_Player_Medic_Attack_Dir_01_Down_02.png,01_Player,432,477,RGBA,True,True,0,255,258361,a75b258586c7c42a20e0e2aa44c5d10b110385e0999951cdccc34c12cde8e897
Content/美术/Art/01_Player/02_Attack_Hurt/Dir_01_Down/Attack/T_Player_Medic_Attack_Dir_01_Down_03.png,01_Player,432,477,RGBA,True,True,0,255,252568,ca7117082639b135702c448a85b8440673f2d5c8f07b80b8af40d9e9d115cb90
Content/美术/Art/01_Player/02_Attack_Hurt/Dir_01_Down/Attack/T_Player_Medic_Attack_Dir_01_Down_04.png,01_Player,432,477,RGBA,True,True,0,255,268908,ad2d81f9dc8635156c3e4859cd2680b7e56344f704e1cc94a7955ef758780949
Content/美术/Art/01_Player/02_Attack_Hurt/Dir_01_Down/Attack/T_Player_Medic_Attack_Dir_01_Down_Sheet.png,01_Player,1728,477,RGBA,True,True,0,255,1027652,4f686fbb544af6d383ac6a64b217c537a993b3e6b95401bdfa128cefa22680a0
Content/美术/Art/01_Player/02_Attack_Hurt/Dir_01_Down/Hurt/T_Player_Medic_Hurt_Dir_01_Down_01.png,01_Player,444,474,RGBA,True,True,0,255,298999,1ee96b81419828074ae526468ccaaac1ee0e3596de60dbc594453333f19017aa
Content/美术/Art/01_Player/02_Attack_Hurt/Dir_01_Down/Hurt/T_Player_Medic_Hurt_Dir_01_Down_02.png,01_Player,444,474,RGBA,True,True,0,255,255913,687e875c0fcc8b47dd5ae9ebab4062bebf254bd24a240d5b590d2e4e0471b5dd
Content/美术/Art/01_Player/02_Attack_Hurt/Dir_01_Down/Hurt/T_Player_Medic_Hurt_Dir_01_Down_03.png,01_Player,444,474,RGBA,True,True,0,255,255796,3da973ae2b4f157964c7d70ab258e68b3575e481dc8e5f66aa68284364b4d510
Content/美术/Art/01_Player/02_Attack_Hurt/Dir_01_Down/Hurt/T_Player_Medic_Hurt_Dir_01_Down_04.png,01_Player,444,474,RGBA,True,True,0,255,279644,f643cc7002b7131429b122e323b75a9260163e89fa674b5789a968b4b73122ea
Content/美术/Art/01_Player/02_Attack_Hurt/Dir_01_Down/Hurt/T_Player_Medic_Hurt_Dir_01_Down_Sheet.png,01_Player,1776,474,RGBA,True,True,0,255,1065893,ae81a42efe96472590416006c0fb1beb6a6f4e28ff3aec6aa7f062937b9babe4
Content/美术/Art/01_Player/02_Attack_Hurt/Dir_02_DownLeft/Attack/T_Player_Medic_Attack_Dir_02_DownLeft_01.png,01_Player,443,472,RGBA,True,True,0,255,263703,a030a1ef29f3d6795957621607d435d0d14a5232ccd1ebc4df63b50c0ef577d3
Content/美术/Art/01_Player/02_Attack_Hurt/Dir_02_DownLeft/Attack/T_Player_Medic_Attack_Dir_02_DownLeft_02.png,01_Player,443,472,RGBA,True,True,0,255,277308,672d538a1df1a776d22c70c9430f2d28d5c0244b94e1e6c200ce37ed20b679a1
Content/美术/Art/01_Player/02_Attack_Hurt/Dir_02_DownLeft/Attack/T_Player_Medic_Attack_Dir_02_DownLeft_03.png,01_Player,443,472,RGBA,True,True,0,255,253843,78541e7830a68edd654ccf4b337a1b796cb80ebf6eec97fb444a0716942e8be8
Content/美术/Art/01_Player/02_Attack_Hurt/Dir_02_DownLeft/Attack/T_Player_Medic_Attack_Dir_02_DownLeft_04.png,01_Player,443,472,RGBA,True,True,0,255,247024,382b6511831e1d60d54fca1cc1a53a9e1684e619b29b29c232842757840dbb72
Content/美术/Art/01_Player/02_Attack_Hurt/Dir_02_DownLeft/Attack/T_Player_Medic_Attack_Dir_02_DownLeft_Sheet.png,01_Player,1772,472,RGBA,True,True,0,255,1004963,90e0023a38eaebd115e41ddd38ff33e3bce038d3e94777ef7532b964d8c71ceb
Content/美术/Art/01_Player/02_Attack_Hurt/Dir_02_DownLeft/Hurt/T_Player_Medic_Hurt_Dir_02_DownLeft_01.png,01_Player,422,469,RGBA,True,True,0,255,278778,f96397e0a7bd5d8c1752e295e8bb9b01033c7dcc1e344c727b69a2a6d0de663d
Content/美术/Art/01_Player/02_Attack_Hurt/Dir_02_DownLeft/Hurt/T_Player_Medic_Hurt_Dir_02_DownLeft_02.png,01_Player,422,469,RGBA,True,True,0,255,246397,081868f92dea46cc62ff9342df7441b7aefdd0c7555af4cb2ec4c4c2b9b5da92
Content/美术/Art/01_Player/02_Attack_Hurt/Dir_02_DownLeft/Hurt/T_Player_Medic_Hurt_Dir_02_DownLeft_03.png,01_Player,422,469,RGBA,True,True,0,255,253232,5047090bcbaf06e61e82979fea349edef2ca46e8eaec2895c86b68235e467444
Content/美术/Art/01_Player/02_Attack_Hurt/Dir_02_DownLeft/Hurt/T_Player_Medic_Hurt_Dir_02_DownLeft_04.png,01_Player,422,469,RGBA,True,True,0,255,260475,eb1d6bcd22bf4ae92644f6afc182362e62bd06921e3ea2afe2ac7aa95e892168
